# pixel vinkelx vinkely
466 -0.129015 0.000331
467 -0.128668 0.000331
468 -0.128320 0.000331
469 -0.127973 0.000331
470 -0.127626 0.000331
471 -0.127279 0.000331
472 -0.126932 0.000331
473 -0.126585 0.000331
474 -0.126238 0.000331
475 -0.125891 0.000331
476 -0.125544 0.000331
477 -0.125197 0.000331
478 -0.124850 0.000331
479 -0.124503 0.000331
480 -0.124157 0.000331
481 -0.123810 0.000331
482 -0.123464 0.000331
483 -0.123117 0.000331
484 -0.122771 0.000331
485 -0.122424 0.000331
486 -0.122078 0.000331
487 -0.121732 0.000331
488 -0.121386 0.000331
489 -0.121040 0.000331
490 -0.120694 0.000331
491 -0.120348 0.000331
492 -0.120002 0.000331
493 -0.119656 0.000331
494 -0.119310 0.000331
495 -0.118964 0.000331
496 -0.118618 0.000331
497 -0.118273 0.000331
498 -0.117927 0.000331
499 -0.117582 0.000331
500 -0.117236 0.000331
501 -0.116891 0.000331
502 -0.116545 0.000331
503 -0.116200 0.000331
504 -0.115855 0.000331
505 -0.115510 0.000331
506 -0.115164 0.000331
507 -0.114819 0.000331
508 -0.114474 0.000331
509 -0.114129 0.000331
510 -0.113785 0.000331
511 -0.113440 0.000331
512 -0.113095 0.000331
513 -0.112750 0.000331
514 -0.112406 0.000331
515 -0.112061 0.000331
516 -0.111716 0.000331
517 -0.111372 0.000331
518 -0.111027 0.000331
519 -0.110683 0.000331
520 -0.110339 0.000331
521 -0.109994 0.000331
522 -0.109650 0.000331
523 -0.109306 0.000331
524 -0.108962 0.000331
525 -0.108618 0.000331
526 -0.108274 0.000331
527 -0.107930 0.000331
528 -0.107586 0.000331
529 -0.107242 0.000331
530 -0.106899 0.000331
531 -0.106555 0.000331
532 -0.106211 0.000331
533 -0.105868 0.000331
534 -0.105524 0.000331
535 -0.105181 0.000331
536 -0.104837 0.000331
537 -0.104494 0.000331
538 -0.104151 0.000331
539 -0.103807 0.000331
540 -0.103464 0.000331
541 -0.103121 0.000331
542 -0.102778 0.000331
543 -0.102435 0.000331
